id;code_entity;libele_entity;type_entitee;manager
1;Handcrafted maroon Handmade;distributed Micronesia;Tasty Steel Bike Optimization;Pa'anga Sleek Concrete Computer integrated
2;Phased;reinvent Solutions;action-items program XML;driver Home Loan Account
3;Innovative Savings Account compressing;Credit Card Account yellow extend;Music;Security Principal bricks-and-clicks
4;Legacy;firewall disintermediate;Keyboard;Berkshire Web
5;Locks Borders Sleek Soft Hat;communities deposit;Direct;circuit
6;sexy;Squares users 24/365;Bike applications Regional;Tasty Soft Chicken solutions Toys
7;FTP European Unit of Account 9(E.U.A.-9) Investment Account;calculate Rubber neural;JBOD Grass-roots Jewelery;gold
8;next-generation copying Auto Loan Account;synthesizing;Arkansas Wooden;Forward Ergonomic deposit
9;Auto Loan Account application;composite Quality 24 hour;Arkansas;Paradigm Computers panel
10;Toys Facilitator Handmade;Soap JSON;extensible Cotton hub;clicks-and-mortar Money Market Account Sleek
