id;ressource;rattachement_ressource;prestation;code_projet;status;client;rattachement_client;start_date;end_date
1;Gourde US Dollar Uzbekistan Sum;Virginia transmitting Ball;Specialist withdrawal Face to face;generate;Village e-markets North Dakota;microchip Frozen;relationships payment;2020-07-06;2020-07-06
2;Industrial Small Rubber Chips;invoice;microchip mobile;Kina;Multi-channelled withdrawal Generic;payment bleeding-edge;bandwidth navigating;2020-07-05;2020-07-06
3;wireless Gorgeous Cheese;Assurance;hack;Arizona;bypassing;Response;Keyboard hack;2020-07-06;2020-07-06
4;Fresh Customer;integrate connecting;orchestrate;Supervisor Tunisian Dinar Bedfordshire;Gorgeous Refined Rubber Pizza;calculate Programmable Investment Account;auxiliary;2020-07-06;2020-07-06
5;scale;Tasty Plastic Shirt;West Virginia;Awesome;Cotton Taiwan;Home Garden;Cambridgeshire;2020-07-06;2020-07-06
6;Investor Practical alarm;District action-items discrete;Handmade withdrawal;Gourde US Dollar;Licensed Fresh Keyboard Egyptian Pound incubate;deposit cutting-edge Montenegro;program Bedfordshire intranet;2020-07-05;2020-07-05
7;Metal generating infrastructures;GB Accountability Money Market Account;reintermediate capacitor;Checking Account;Distributed;dynamic;superstructure maximize digital;2020-07-06;2020-07-06
8;facilitate portal;Frozen multi-byte Guam;expedite XSS deposit;support scalable Rustic;Fresh Shirt;Borders;software Kids;2020-07-06;2020-07-06
9;feed Investment Account;invoice South Carolina;gold;generating Fish;Accounts Swedish Krona;Sleek Granite Tuna;Savings Account seize Personal Loan Account;2020-07-06;2020-07-06
10;Human interfaces;green payment;Maine open system Fish;Savings Account;Home Loan Account;Fresh;Executive bus multimedia;2020-07-06;2020-07-06
