id;name_client;nam_client_iris;code_client_iris;marche;is_active
1;reciprocal payment;Kuwait;Belize Dollar compressing Handcrafted;Rhode Island Administrator compressing;false
2;plug-and-play foreground strategy;Coordinator Money Market Account invoice;Grocery;capacitor Handcrafted Rubber Car;false
3;Internal PNG;Kids neural;content;Checking Account virtual Internal;true
4;Licensed;morph Legacy;e-markets Cambridgeshire;Customer-focused;false
5;Associate Solomon Islands Dollar;Savings Account Mouse back-end;Mill Ergonomic online;Handmade;false
6;Dalasi;Idaho Villages Hryvnia;context-sensitive approach copying;Gibraltar regional;true
7;Grocery;Via Corporate Enhanced;bandwidth Borders;Forward overriding Product;true
8;Plastic background;magenta;Solutions;dynamic;false
9;Gorgeous Wooden Pants;distributed sexy Gorgeous;National Nicaragua Cambridgeshire;Cotton;true
10;wireless SCSI Wyoming;bluetooth;Supervisor Nauru Rubber;deposit Soap Ergonomic Steel Fish;true
